lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
1,50,16,2,0.85,,0,0,0,0,0.068571429,0.63580838,0,0,0,0,0.144927536,0.536231884,0.475362319,0.391304348,0.704379809
1,5,64,2,0.85,,0,0,0,0,0.06995671,0.634101529,0,0,0,0,0.15942029,0.550724638,0.472463768,0.391304348,0.704058239
7,80,16,2,0.85,,0,0,0,0,0.09469697,0.607766082,0,0,0,0,0.132352941,0.5,0.444117647,0.367647059,0.702463051
14,80,64,2,0.85,,0,0,0,0,0.188807759,0.511739688,0,0,0,0,0.164179104,0.447761194,0.382089552,0.28358209,0.700547448
3,5,32,1,0.85,,0,0,0,0.057142857,0.085222779,0.557695651,0,0,0,0,0.088235294,0.441176471,0.4,0.352941176,0.700061287
1,50,256,1,0.85,,0,0,0,0,0.093333333,0.606704842,0,0,0,0,0.130434783,0.52173913,0.452173913,0.391304348,0.700038175
1,20,256,2,0.85,,0,0,0,0,0.06807564,0.631028548,0,0,0,0,0.173913043,0.565217391,0.466666667,0.391304348,0.699104188
14,50,64,1,0.85,,0,0,0,0,0.160459184,0.538152678,0,0,0,0,0.179104478,0.462686567,0.394029851,0.28358209,0.698611861
1,80,32,2,0.85,,0,0,0,0,0.062745098,0.635318419,0,0,0,0,0.144927536,0.536231884,0.463768116,0.391304348,0.698063517
1,80,16,3,0.85,,0,0,0,0,0.05,0.647902333,0,0,0,0,0.144927536,0.536231884,0.475362319,0.391304348,0.697902333
14,20,16,1,0.85,,0,0,0,0,0.145773507,0.549743422,0,0,0,0,0.179104478,0.462686567,0.402985075,0.28358209,0.695516929
3,80,128,3,0.85,,0,0,0,0.08,0.033333333,0.581589609,0,0,0,0,0.073529412,0.455882353,0.414705882,0.382352941,0.694922942
14,5,256,3,0.85,,0,0,0,0,0.264081116,0.430234316,0,0,0,0,0.164179104,0.462686567,0.379104478,0.298507463,0.694315432
1,50,128,2,0.85,,0,0,0,0,0.071794872,0.620710642,0,0,0,0,0.144927536,0.536231884,0.463768116,0.391304348,0.692505513
14,5,128,2,0.85,,0,0,0,0,0.187301587,0.503677758,0,0,0,0,0.23880597,0.462686567,0.373134328,0.223880597,0.690979345
14,80,16,3,0.85,,0,0,0,0,0.195779277,0.494231202,0,0,0,0,0.179104478,0.462686567,0.379104478,0.28358209,0.690010479
1,5,32,2,0.85,,0,0,0,0,0.04137931,0.648230741,0,0,0,0,0.15942029,0.550724638,0.48115942,0.391304348,0.689610051
14,80,32,2,0.85,,0,0,0,0,0.13856383,0.549635494,0,0,0,0,0.179104478,0.462686567,0.402985075,0.28358209,0.688199324
7,5,16,2,0.85,,0,0,0,0,0.084285714,0.603815154,0,0,0,0,0.117647059,0.5,0.444117647,0.382352941,0.688100868
1,50,256,3,0.85,,0,0,0,0,0.058823529,0.625605746,0,0,0,0,0.144927536,0.536231884,0.463768116,0.391304348,0.684429276
1,5,256,3,0.85,,0,0,0,0,0.056944444,0.626068011,0,0,0,0,0.144927536,0.536231884,0.460869565,0.391304348,0.683012455
1,5,16,2,0.85,,0,0,0,0,0.0375,0.644320966,0,0,0,0,0.144927536,0.536231884,0.475362319,0.391304348,0.681820966
14,80,16,1,0.85,,0,0,0,0,0.135792894,0.545541627,0,0,0,0,0.179104478,0.462686567,0.4,0.28358209,0.681334521
7,5,16,3,0.85,,0,0,0,0,0.090909091,0.590198206,0,0,0,0,0.117647059,0.5,0.435294118,0.382352941,0.681107297
3,50,16,1,0.85,,0,0,0,0,0.167940517,0.512703657,0,0,0,0,0.102941176,0.441176471,0.4,0.338235294,0.680644174
1,50,16,1,0.85,,0,0,0,0,0.061538462,0.619009961,0,0,0,0,0.144927536,0.536231884,0.460869565,0.391304348,0.680548423
14,50,16,1,0.85,,0,0,0,0,0.127730496,0.55067047,0,0,0,0,0.179104478,0.462686567,0.4,0.28358209,0.678400966
3,5,16,3,0.85,,0,0,0,0.08,0,0.597087442,0,0,0,0,0.073529412,0.470588235,0.426470588,0.397058824,0.677087442
7,80,32,3,0.85,,0,0,0,0,0.062745098,0.61413319,0,0,0,0,0.102941176,0.5,0.447058824,0.397058824,0.676878288
7,80,16,3,0.85,,0,0,0,0,0.065306122,0.610980037,0,0,0,0,0.102941176,0.5,0.447058824,0.397058824,0.676286159
3,5,128,3,0.85,,0,0,0,0,0.094247764,0.580434206,0,0,0,0,0.073529412,0.455882353,0.417647059,0.382352941,0.674681969
1,5,16,1,0.85,,0,0,0,0,0.05443609,0.618326396,0,0,0,0,0.144927536,0.536231884,0.449275362,0.391304348,0.672762486
3,20,128,1,0.85,,0,0,0,0,0.108638584,0.563964124,0,0,0,0,0.132352941,0.470588235,0.408823529,0.338235294,0.672602707
7,20,16,3,0.85,,0,0,0,0,0.067924528,0.604508777,0,0,0,0,0.102941176,0.5,0.444117647,0.397058824,0.672433305
7,80,16,1,0.85,,0,0,0,0,0.071428571,0.599295993,0,0,0,0,0.147058824,0.514705882,0.438235294,0.367647059,0.670724565
14,50,32,1,0.85,,0,0,0,0,0.154289636,0.515525226,0,0,0,0,0.179104478,0.462686567,0.385074627,0.28358209,0.669814862
3,80,256,1,0.85,,0,0,0,0,0.075357143,0.594126376,0,0,0,0,0.058823529,0.455882353,0.426470588,0.397058824,0.669483519
3,50,16,3,0.85,,0,0,0,0,0.157759104,0.511032676,0,0,0,0,0.117647059,0.455882353,0.411764706,0.338235294,0.66879178
14,50,32,2,0.85,,0,0,0,0,0.160205621,0.50572499,0,0,0,0,0.179104478,0.462686567,0.382089552,0.28358209,0.665930611
3,20,64,2,0.85,,0,0,0,0,0.092936153,0.572205198,0,0,0,0,0.102941176,0.470588235,0.414705882,0.367647059,0.66514135
7,50,16,3,0.85,,0,0,0,0,0.06779661,0.595928062,0,0,0,0,0.117647059,0.5,0.438235294,0.382352941,0.663724672
1,20,16,1,0.85,,0,0,0,0,0.028571429,0.634666527,0,0,0,0,0.144927536,0.536231884,0.469565217,0.391304348,0.663237956
