lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7.0,10000.0,20.0,256.0,3.0,0.85,0.5411764705882353,0.47058823529411764,0.5882352941176471,0.11764705882352944
7.0,10000.0,50.0,256.0,3.0,0.85,0.5147058823529411,0.4852941176470588,0.5735294117647058,0.08823529411764702
7.0,10000.0,80.0,256.0,3.0,0.85,0.5529411764705883,0.5,0.6323529411764706,0.13235294117647056
14.0,10000.0,5.0,16.0,1.0,0.85,0.5313432835820895,0.3880597014925373,0.6268656716417911,0.23880597014925375
14.0,10000.0,20.0,16.0,1.0,0.85,0.5134328358208956,0.40298507462686567,0.6119402985074627,0.208955223880597
14.0,10000.0,50.0,16.0,1.0,0.85,0.5283582089552239,0.3880597014925373,0.6268656716417911,0.23880597014925375
14.0,10000.0,80.0,16.0,1.0,0.85,0.5223880597014925,0.417910447761194,0.6268656716417911,0.20895522388059706
14.0,10000.0,5.0,16.0,2.0,0.85,0.5223880597014925,0.417910447761194,0.582089552238806,0.16417910447761197
14.0,10000.0,20.0,16.0,2.0,0.85,0.5164179104477611,0.417910447761194,0.6119402985074627,0.19402985074626866
14.0,10000.0,50.0,16.0,2.0,0.85,0.5194029850746269,0.40298507462686567,0.5970149253731343,0.1940298507462686
14.0,10000.0,80.0,16.0,2.0,0.85,0.5134328358208956,0.417910447761194,0.6268656716417911,0.20895522388059706
14.0,10000.0,5.0,16.0,3.0,0.85,0.4955223880597014,0.43283582089552236,0.5373134328358209,0.10447761194029853
14.0,10000.0,20.0,16.0,3.0,0.85,0.5343283582089552,0.4626865671641791,0.582089552238806,0.11940298507462688
14.0,10000.0,50.0,16.0,3.0,0.85,0.5522388059701491,0.4925373134328358,0.6417910447761194,0.14925373134328357
14.0,10000.0,80.0,16.0,3.0,0.85,0.5432835820895521,0.5074626865671642,0.6119402985074627,0.10447761194029848
14.0,10000.0,5.0,32.0,1.0,0.85,0.5402985074626866,0.40298507462686567,0.6567164179104478,0.2537313432835821
14.0,10000.0,20.0,32.0,1.0,0.85,0.5373134328358209,0.43283582089552236,0.6417910447761194,0.208955223880597
14.0,10000.0,50.0,32.0,1.0,0.85,0.5373134328358209,0.43283582089552236,0.6567164179104478,0.2238805970149254
14.0,10000.0,80.0,32.0,1.0,0.85,0.5492537313432836,0.4626865671641791,0.6268656716417911,0.16417910447761197
14.0,10000.0,5.0,32.0,2.0,0.85,0.5432835820895522,0.44776119402985076,0.6268656716417911,0.17910447761194032
14.0,10000.0,20.0,32.0,2.0,0.85,0.5641791044776119,0.4626865671641791,0.6268656716417911,0.16417910447761197
14.0,10000.0,50.0,32.0,2.0,0.85,0.5611940298507463,0.43283582089552236,0.6567164179104478,0.2238805970149254
14.0,10000.0,80.0,32.0,2.0,0.85,0.5582089552238807,0.3880597014925373,0.6268656716417911,0.23880597014925375
14.0,10000.0,5.0,32.0,3.0,0.85,0.5253731343283582,0.3880597014925373,0.6417910447761194,0.25373134328358204
14.0,10000.0,20.0,32.0,3.0,0.85,0.5402985074626866,0.47761194029850745,0.6268656716417911,0.14925373134328362
14.0,10000.0,50.0,32.0,3.0,0.85,0.48955223880597015,0.3880597014925373,0.582089552238806,0.19402985074626866
14.0,10000.0,80.0,32.0,3.0,0.85,0.48955223880597015,0.3880597014925373,0.5970149253731343,0.20895522388059695
14.0,10000.0,5.0,64.0,1.0,0.85,0.5402985074626866,0.3880597014925373,0.6268656716417911,0.23880597014925375
14.0,10000.0,20.0,64.0,1.0,0.85,0.5343283582089552,0.40298507462686567,0.6268656716417911,0.2238805970149254
14.0,10000.0,50.0,64.0,1.0,0.85,0.5373134328358209,0.44776119402985076,0.6268656716417911,0.17910447761194032
14.0,10000.0,80.0,64.0,1.0,0.85,0.5373134328358209,0.43283582089552236,0.6567164179104478,0.2238805970149254
14.0,10000.0,5.0,64.0,2.0,0.85,0.5104477611940298,0.43283582089552236,0.6119402985074627,0.17910447761194032
14.0,10000.0,20.0,64.0,2.0,0.85,0.5373134328358209,0.43283582089552236,0.6119402985074627,0.17910447761194032
14.0,10000.0,50.0,64.0,2.0,0.85,0.5074626865671642,0.417910447761194,0.6268656716417911,0.20895522388059706
14.0,10000.0,80.0,64.0,2.0,0.85,0.5104477611940299,0.417910447761194,0.582089552238806,0.16417910447761197
14.0,10000.0,5.0,64.0,3.0,0.85,0.5164179104477611,0.373134328358209,0.6567164179104478,0.2835820895522388
14.0,10000.0,20.0,64.0,3.0,0.85,0.5134328358208954,0.43283582089552236,0.6268656716417911,0.19402985074626872
14.0,10000.0,50.0,64.0,3.0,0.85,0.5164179104477611,0.40298507462686567,0.582089552238806,0.17910447761194032
14.0,10000.0,80.0,64.0,3.0,0.85,0.5462686567164179,0.4626865671641791,0.6716417910447762,0.20895522388059706
14.0,10000.0,5.0,128.0,1.0,0.85,0.5462686567164179,0.3880597014925373,0.6417910447761194,0.25373134328358204
14.0,10000.0,20.0,128.0,1.0,0.85,0.5373134328358209,0.40298507462686567,0.6119402985074627,0.208955223880597
14.0,10000.0,50.0,128.0,1.0,0.85,0.5343283582089553,0.3880597014925373,0.6119402985074627,0.22388059701492535
14.0,10000.0,80.0,128.0,1.0,0.85,0.5492537313432836,0.417910447761194,0.6119402985074627,0.19402985074626866
14.0,10000.0,5.0,128.0,2.0,0.85,0.5283582089552239,0.43283582089552236,0.6417910447761194,0.208955223880597
14.0,10000.0,20.0,128.0,2.0,0.85,0.5223880597014925,0.43283582089552236,0.582089552238806,0.14925373134328362
14.0,10000.0,50.0,128.0,2.0,0.85,0.5343283582089552,0.373134328358209,0.6119402985074627,0.2388059701492537
14.0,10000.0,80.0,128.0,2.0,0.85,0.5552238805970149,0.40298507462686567,0.6268656716417911,0.2238805970149254
14.0,10000.0,5.0,128.0,3.0,0.85,0.5313432835820896,0.417910447761194,0.6567164179104478,0.23880597014925375
14.0,10000.0,20.0,128.0,3.0,0.85,0.5313432835820895,0.417910447761194,0.6268656716417911,0.20895522388059706
